Judge,Model,ROUGE_L_recall,ROUGE_L_precision,ROUGE_L_F1,Token_overlap_recall,Token_overlap_precision,Token_overlap_F1,BLEU_score,LLM_Correctness,Human_QE
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.240740741,0.553191489,0.335483867,0.191111111,0.387387387,0.255952381,0.282050972,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.196721311,0.3,0.237623758,0.195121951,0.275862069,0.228571429,0.345441873,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.40625,0.320987654,0.358620685,0.274509804,0.168674699,0.208955224,0.576211612,0.75,0.75
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.127659574,0.428571429,0.196721308,0.109589041,0.470588235,0.177777778,0.011228168,0.75,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.237288136,0.2,0.217054259,0.069767442,0.033707865,0.045454545,0.246666634,0.25,0.25
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.23853211,0.503225806,0.323651448,0.119791667,0.280487805,0.167883212,0.164068575,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.412790698,0.47972973,0.443749995,0.351515152,0.355828221,0.353658537,0.629983624,0.75,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.241590214,0.459302326,0.316633262,0.130208333,0.215517241,0.162337662,0.310127111,0.25,0.5
gpt-4-1106-preview,gpt-3.5-16k_0.7_temp,0.540697674,0.6,0.568807334,0.351515152,0.345238095,0.348348348,0.775680283,0.75,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.657534247,0.607594937,0.631578942,0.581818182,0.47761194,0.524590164,0.671497874,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.492063492,0.462686567,0.476923072,0.555555556,0.454545455,0.5,0.663811151,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.4,0.454545455,0.42553191,0.351851852,0.351851852,0.351851852,0.610627413,0.75,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.310185185,0.44966443,0.367123283,0.244444444,0.34591195,0.286458333,0.539886335,1,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.409836066,0.177304965,0.247524748,0.365853659,125,0.186335404,0.255128009,0.75,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.5625,0.352941176,0.433734935,0.37254902,0.193877551,0.255033557,0.454679145,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.340425532,0.507936508,0.407643307,0.191780822,0.35,0.247787611,0.293292889,0.75,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.372881356,0.147651007,0.211538457,0.302325581,0.08496732,0.132653061,0.200883328,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.272171254,0.449494949,0.339047614,0.151041667,0.241666667,0.185897436,0.392355506,0.75,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.505813953,0.491525424,0.49856733,0.339393939,0.265402844,0.29787234,0.714442685,0.75,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.290519878,0.502645503,0.36821705,0.15625,0.266666667,0.197044335,0.318653732,0.25,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.4_temp,0.575581395,0.502538071,0.536585361,0.393939394,0.282608696,0.329113924,0.714034374,0.75,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.616438356,0.463917526,0.52941176,0.545454545,0.37037037,0.441176471,0.55518984,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.476190476,0.447761194,0.461538457,0.511111111,0.425925926,0.464646465,0.619636013,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.506666667,0.506666667,0.506666662,0.462962963,0.396825397,0.427350427,0.646862454,1,1
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.287037037,0.418918919,0.340659336,0.24,0.346153846,0.283464567,0.512705611,1,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.229508197,0.128440367,0.164705878,0.341463415,0.123893805,0.181818182,0.255483211,0.75,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.59375,0.342342342,0.43428571,0.411764706,0.185840708,0.256097561,0.420257116,0.75,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.308510638,0.453125,0.367088603,0.164383562,0.25,0.198347107,0.345091953,0.75,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.474576271,0.17721519,0.258064512,0.23255814,0.0625,0.098522167,0.189683223,0.75,1
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.275229358,0.454545455,0.342857138,0.151041667,0.25,0.188311688,0.335869152,0.25,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.511627907,0.451282051,0.479564028,0.357575758,0.25106383,295,0.690220032,0.75,0.75
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.278287462,0.443902439,0.342105258,0.158854167,0.220216606,0.184568835,0.457838761,0.75,0.5
gpt-4-1106-preview,gpt-4-1106-preview_0.7_temp,0.581395349,0.497512438,0.536193025,0.375757576,248,0.298795181,0.687304829,0.75,0.75
gpt-4-1106-preview,mistral_0.4_temp,0.383561644,0.189189189,0.253393661,0.327272727,0.128571429,0.184615385,0.278756345,0.75,0.25
gpt-4-1106-preview,mistral_0.4_temp,0.666666667,0.7,0.682926824,0.688888889,775,0.729411765,0.737146294,0.75,0.75
gpt-4-1106-preview,mistral_0.4_temp,0.293333333,0.14379085,0.192982452,0.185185185,0.063694268,0.09478673,0.206410661,0.25,0
gpt-4-1106-preview,mistral_0.4_temp,0.171296296,0.26618705,0.208450699,0.142222222,0.213333333,0.170666667,0.401349455,0.75,0.5
gpt-4-1106-preview,mistral_0.4_temp,0.344262295,0.091304348,0.144329894,0.268292683,0.050458716,0.084942085,0.14354586,0.25,0.25
gpt-4-1106-preview,mistral_0.4_temp,0.390625,0.225225225,0.285714281,0.294117647,0.144230769,0.193548387,0.43038846,0.75,0.5
gpt-4-1106-preview,mistral_0.4_temp,0.35106383,0.289473684,0.317307687,0.246575342,0.168224299,0.2,0.474488096,0.25,0
gpt-4-1106-preview,mistral_0.4_temp,0.474576271,0.116182573,0.186666664,0.255813953,0.041509434,0.071428571,0.134445439,0.75,0.5
gpt-4-1106-preview,mistral_0.4_temp,0.262996942,0.396313364,0.316176466,0.1484375,0.227091633,0.179527559,0.389422706,0.25,0.25
gpt-4-1106-preview,mistral_0.4_temp,0.296511628,0.326923077,0.310975605,0.218181818,0.180904523,0.197802198,0.592298105,0.75,0.5
gpt-4-1106-preview,mistral_0.4_temp,0.244648318,0.341880342,0.285204986,0.1328125,0.184782609,0.154545455,0.458465986,0.25,0.25
gpt-4-1106-preview,mistral_0.4_temp,0.494186047,0.406698565,0.446194221,0.333333333,0.182724252,0.236051502,0.521963625,0.75,0.75
gpt-4-1106-preview,mistral_0.7_temp,0.410958904,0.173410405,0.243902435,0.345454545,0.129251701,0.188118812,0.237965818,0.75,0.25
gpt-4-1106-preview,mistral_0.7_temp,0.619047619,0.684210526,0.649999995,0.622222222,0.7,0.658823529,0.703873808,0.75,0.75
gpt-4-1106-preview,mistral_0.7_temp,0.213333333,0.192771084,0.202531641,0.111111111,0.058252427,0.076433121,0.294414934,0.75,0
gpt-4-1106-preview,mistral_0.7_temp,0.148148148,0.326530612,0.203821652,0.111111111,0.217391304,0.147058824,0.246819992,0.75,0.5
gpt-4-1106-preview,mistral_0.7_temp,0.295081967,0.107142857,0.157205236,0.268292683,0.070063694,0.111111111,0.181537471,0.25,0.25
gpt-4-1106-preview,mistral_0.7_temp,375,0.226415094,0.282352936,0.156862745,0.097560976,0.120300752,0.471155735,0.75,0
gpt-4-1106-preview,mistral_0.7_temp,0.234042553,0.258823529,0.245810051,0.150684932,0.174603175,0.161764706,0.394519797,0.75,0.25
gpt-4-1106-preview,mistral_0.7_temp,0.559322034,0.230769231,0.326732669,0.372093023,0.108843537,0.168421053,0.217730702,0.75,0.75
gpt-4-1106-preview,mistral_0.7_temp,0.23853211,0.348214286,0.283121592,0.15625,0.191693291,0.172166428,0.484708247,0.75,0.25
gpt-4-1106-preview,mistral_0.7_temp,0.395348837,0.34,0.365591393,0.309090909,0.227678571,0.262210797,0.667051449,0.25,0.25
gpt-4-1106-preview,mistral_0.7_temp,0.262996942,0.3359375,0.295025724,0.1484375,0.228915663,0.180094787,0.500055189,0.25,0.25
gpt-4-1106-preview,mistral_0.7_temp,0.581395349,0.221238938,0.320512817,0.393939394,0.098634294,0.15776699,0.27006967,0.25,0.25
